"use_area","user_nights","group_nights","people","permits","first_nights","last_nights","stock","stock_unights"
"AA9",38,13,36,12,12,4,0,0
"AB0",149,44,99,30,23,24,0,0
"AB9",76,21,54,16,7,11,0,0
"AC9",314,74,156,37,29,31,0,0
"AD9",65,25,38,13,5,4,0,0
"AE9",698,308,274,125,105,88,0,0
"AF9",212,99,110,56,11,5,0,0
"AG9",76,36,49,24,6,10,0,0
"AH9",75,43,37,22,2,1,0,0
"AJ9",155,53,93,34,15,12,0,0
"AK9",1358,525,685,269,104,97,0,0
"AM9",554,130,454,101,49,46,0,0
"AN9",22,8,20,7,5,4,0,0
"AP9",283,113,130,55,36,33,0,0
"AQ9",121,72,38,23,8,7,0,0
"AR9",80,30,28,11,1,4,0,0
"AS9",161,71,58,27,10,15,0,0
"AT9",24,17,18,11,6,7,0,0
"AU9",75,34,49,18,8,2,0,0
"AV9",151,36,63,18,3,5,0,0
"AW7",917,248,726,198,93,35,0,0
"AW8",479,113,455,106,14,6,0,0
"AX7",941,241,752,198,35,54,0,0
"AY9",1092,251,791,179,91,153,0,0
"AZ9",71,34,55,24,4,7,0,0
"BA9",693,284,436,174,59,32,0,0
"BB9",1846,615,1393,465,383,198,0,0
"BC9",1410,432,1120,352,44,30,0,0
"BD9",1569,452,1316,393,116,139,0,0
"BE9",1592,453,1418,409,98,185,0,0
"BF5",1851,531,1556,448,239,372,0,0
"BG9",1335,426,1147,369,203,140,0,0
"BH9",716,256,615,229,48,18,0,0
"BJ9",1028,364,849,313,114,168,0,0
"BL4",696,217,689,215,95,103,0,0
"BL5",346,132,343,131,25,25,0,0
"BL6",133,62,131,61,19,13,0,0
"BL7",2308,645,1922,538,223,184,0,0
"BL8",835,272,783,256,75,47,0,0
"BM7",2642,748,2194,617,393,338,0,0
"BM8",972,250,859,226,116,75,0,0
"BN9",1301,434,805,278,143,150,0,0
"BO9",302,134,180,82,8,11,0,0
"BP9",215,85,145,59,15,4,0,0
"BQ9",582,178,406,128,45,89,0,0
"BR9",961,286,316,99,39,24,0,0
"BS9",8,1,8,1,0,0,0,0
"BT9",166,38,47,11,3,4,0,0
"BU9",18,3,10,2,1,1,0,0
"CBG",28884,9063,21491,6852,5464,4002,31,58
"CCG",8761,2902,6954,2245,1422,833,2,2
"CIG",14555,4483,13032,3980,1314,3619,0,0
"LA9",808,218,261,75,39,48,0,0
"LB9",426,145,163,53,27,38,0,0
"LC9",201,70,90,28,13,21,0,0
"LE9",41,16,15,6,4,4,0,0
"LF9",9,7,5,3,1,1,0,0
"LG9",6,6,2,2,0,0,0,0
"LH9",33,8,14,4,1,2,0,0
"LI9",2,1,2,1,0,0,0,0
"LJ9",40,19,13,6,4,4,0,0
"LK9",60,21,32,9,7,7,0,0
"LL9",8,2,8,2,2,1,0,0
"NA0",88,34,37,16,15,15,0,0
"NA1",185,87,181,85,68,68,0,0
"NB9",55,28,48,24,11,20,0,0
"NC9",73,35,64,28,18,13,0,0
"NCG",343,136,306,125,45,54,0,0
"ND9",38,14,22,11,4,8,0,0
"NF9",202,93,184,83,69,67,0,0
"NG9",37,20,27,15,11,6,0,0
"NH1",679,245,507,186,165,166,0,0
"NJ0",32,16,27,13,5,5,0,0
"NJ1",64,27,50,21,14,13,0,0
"NJ2",91,31,65,25,18,15,0,0
"NK9",230,64,132,37,28,24,0,0
"NL9",83,26,60,19,17,6,0,0
"NN9",7,5,7,5,3,1,0,0
"NRH",197,53,55,16,16,15,53,189
"NRR",12,7,12,7,0,7,0,0
"SA9",65,24,44,18,18,17,0,0
"SB9",7,2,7,2,1,2,0,0
"SC9",18,11,14,9,7,5,0,0
"SE0",24,10,23,9,7,3,0,0
"SE1",51,20,36,15,13,10,0,0
"SE2",140,51,103,39,35,25,0,0
"SE3",220,60,182,51,48,13,0,0
"SF9",49,12,32,8,6,8,0,0
"SG9",76,14,45,9,9,8,0,0
"SH9",6,2,3,1,1,1,0,0
"SI9",34,4,24,3,3,3,0,0
"TCG",2673,923,1645,556,541,538,0,0
"XXC",11,5,7,3,2,2,0,0
"XXT",3,1,3,1,0,1,0,0
