"use_area","user_nights","group_nights","people","permits","first_nights","last_nights","stock","stock_unights"
"AA9",33,15,29,12,10,5,0,0
"AB0",170,42,113,28,20,21,0,0
"AB9",55,17,37,11,5,5,0,0
"AC9",393,94,192,48,40,42,0,0
"AD9",42,19,21,9,3,3,0,0
"AE9",665,233,272,103,87,67,0,0
"AF9",310,116,125,54,14,5,0,0
"AG9",149,63,91,36,11,10,0,0
"AH9",86,32,57,21,2,1,0,0
"AJ9",107,44,58,23,12,10,0,0
"AK9",1310,471,747,275,96,84,0,0
"AM9",588,139,492,110,46,41,0,0
"AN9",33,11,32,10,5,5,0,0
"AP9",325,116,140,53,33,29,0,0
"AQ9",106,67,44,24,11,7,0,0
"AR9",287,56,73,22,9,10,0,0
"AS9",447,164,171,61,30,35,0,0
"AT9",113,42,69,27,16,18,0,0
"AU9",85,50,48,26,5,4,0,0
"AV9",182,38,121,28,5,3,0,0
"AW7",1010,272,766,210,92,38,0,0
"AW8",537,123,494,113,5,4,0,0
"AX7",1067,262,880,218,42,42,0,0
"AY9",1500,331,1031,230,129,198,0,0
"AZ9",184,56,111,37,11,13,0,0
"BA9",1010,345,574,208,78,43,0,0
"BB9",2178,679,1618,503,420,229,0,0
"BC9",1633,450,1168,353,43,29,0,0
"BD9",1727,484,1427,414,132,150,0,0
"BE9",1728,482,1541,430,128,193,0,0
"BF5",2035,601,1663,499,286,409,0,0
"BG9",1549,477,1279,404,217,168,0,0
"BH9",861,312,691,260,48,23,0,0
"BJ9",1089,392,945,348,113,176,0,0
"BL4",824,234,748,219,95,109,0,0
"BL5",331,121,324,118,24,34,0,0
"BL6",169,75,164,74,23,22,0,0
"BL7",2298,680,1937,571,267,185,0,0
"BL8",1057,311,975,284,84,71,0,0
"BM7",2748,761,2269,631,394,366,0,0
"BM8",993,286,896,261,137,113,0,0
"BN9",1502,483,901,297,171,169,0,0
"BO9",267,107,172,68,5,8,0,0
"BP9",192,75,148,57,14,5,0,0
"BQ9",775,233,522,160,68,110,0,0
"BR9",975,315,308,103,53,35,0,0
"BS9",11,11,4,4,2,1,0,0
"BT9",148,41,53,15,4,2,0,0
"BU9",10,5,2,1,0,1,0,0
"CBG",30212,9458,22677,7259,5790,4329,46,63
"CCG",8778,2828,7018,2200,1402,796,10,16
"CIG",14886,4564,13395,4102,1382,3728,1,6
"GLC",1,1,1,1,1,0,0,0
"LA9",744,199,247,76,35,46,0,0
"LB9",473,150,200,57,33,42,0,0
"LC9",253,72,118,32,13,23,0,0
"LE9",46,18,25,8,5,6,0,0
"LF9",14,7,6,3,0,2,0,0
"LG9",12,4,6,2,1,0,0,0
"LH9",6,2,6,2,0,0,0,0
"LI9",35,13,15,6,4,4,0,0
"LJ9",85,41,20,9,7,3,0,0
"LK9",56,22,21,9,3,6,0,0
"LL9",21,11,12,6,2,6,0,0
"LM9",1,1,1,1,1,1,0,0
"NA0",61,35,27,16,13,13,0,0
"NA1",192,89,179,83,73,71,0,0
"NB9",22,13,22,13,4,9,0,0
"NC9",27,11,21,9,6,5,0,0
"NCG",339,161,322,152,52,50,0,0
"ND9",43,22,41,21,6,11,0,0
"NF9",241,101,227,93,82,74,0,0
"NG9",21,12,19,11,5,6,0,0
"NH1",614,238,491,192,172,166,0,0
"NJ0",37,20,29,17,4,5,0,0
"NJ1",148,51,125,43,35,36,0,0
"NJ2",208,86,157,66,45,38,0,0
"NK9",156,60,106,35,24,23,0,0
"NL9",97,36,73,26,25,8,0,0
"NM9",15,6,8,3,3,2,0,0
"NN9",17,6,15,5,2,5,0,0
"NRH",286,61,80,18,18,18,86,307
"SA9",59,30,39,20,18,20,0,0
"SB9",6,4,6,4,4,4,0,0
"SC9",11,6,7,4,4,4,0,0
"SE0",7,5,5,3,3,1,0,0
"SE1",84,28,67,24,23,17,0,0
"SE2",185,60,136,45,43,30,0,0
"SE3",139,49,118,43,39,12,0,0
"SF9",66,22,38,12,8,11,0,0
"SG9",62,15,45,11,10,8,0,0
"SH9",17,3,10,2,2,2,0,0
"TCG",2800,981,1776,640,619,613,0,0
"XXX",1644,577,1339,456,192,147,6,6
