"use_area","use_area_name","management_zone","no_of_groups","and_or","no_of_parties","people_max","camp_type","navajo_permit","sky_terrain"
"AA9","Badger","Primitive",1,"and",1,17,"At Large","N","N"
"AB9","Rider","Primitive",1,"and",1,17,"At Large","N","N"
"AC9","South Canyon","Primitive",1,"and",1,17,"At Large","N","N"
"AD9","Saddle Canyon","Primitive",1,"and",1,17,"At Large","N","N"
"AE9","Nankwoeap","Primitive",1,"and",2,23,"At Large","N","N"
"AF9","Chuar","Primitive",1,"and",3,29,"At Large","N","Y"
"AG9","Unkar","Wild",1,"or",2,12,"At Large","N","Y"
"AH9","Vishnu","Wild",1,"or",1,11,"At Large","N","Y"
"AJ9","Cheyava","Wild",1,"or",2,12,"At Large","N","Y"
"AK9","Clear Creek","Threshold",1,"and",3,29,"At Large","N","Y"
"AL9","Greenland Springs","Wild",1,"or",2,12,"At Large","N","Y"
"AM9","Surprise Valley","Primitive",1,"and",1,17,"At Large","N","N"
"AP9","Phantom Creek","Wild",1,"or",2,12,"At Large","N","Y"
"AQ9","Trinity Creek","Wild",1,"and",2,12,"At Large","N","Y"
"AR9","Scorpion Ridge","Wild",1,"or",2,12,"At Large","N","N"
"AS9","North Bass","Primitive",1,"and",1,17,"At Large","N","N"
"AT9","Powell Plateau","Primitive",1,"and",2,23,"At Large","N","N"
"AU9","Blacktail Canyon","Wild",1,"or",2,12,"At Large","N","N"
"AV9","Tapeats Amphitheatre","Wild",1,"or",2,12,"At Large","N","N"
"AW7","Tapeats-Upper Tapeats","Threshold",1,"and",2,23,"Designated Sites","N","N"
"AW8","Tapeats-Lower Tapeats","Threshold",1,"and",1,17,"Designated Sites","N","N"
"AX9","Deer Creek","Primitive",1,"and",1,17,"Designated Sites","N","N"
"AY9","Esplanade","Primitive",1,"and",2,23,"At Large","N","N"
"AZ9","Fishtail","Wild",1,"or",2,12,"At Large","N","N"
"BA9","Palisades","Primitive",1,"and",2,23,"At Large","Y","Y"
"BB9","Tanner","Primitive",1,"and",3,29,"At Large","N","Y"
"BC9","Cardenas","Primitive",1,"and",2,23,"At Large","N","Y"
"BD9","Red Canyon","Primitive",1,"and",2,23,"At Large","N","Y"
"BE9","Hance Creek","Primitive",1,"and",2,23,"At Large","N","Y"
"BG9","Cottonwood Creek","Primitive",1,"and",2,23,"At Large","N","Y"
"BH9","Grapevine","Primitive",1,"and",2,23,"At Large","N","Y"
"BJ9","Cremation","Primitive",1,"and",2,23,"At Large","N","Y"
"BL4","Hermit Loop-Horn Creek","Threshold",0,"and",1,6,"Designated Sites","N","Y"
"BL5","Hermit Loop-Salt Creek","Threshold",0,"and",1,6,"Designated Sites","N","Y"
"BL6","Hermit Loop-Cedar Creek","Threshold",0,"and",1,6,"Designated Sites","N","Y"
"BL7","Hermit Loop-Monument","Threshold",1,"and",3,29,"Designated Sites","N","Y"
"BL8","Hermit Loop-Granite Rapids","Threshold",1,"and",2,23,"Designated Sites","N","Y"
"BL9","Horseshoe Mesa","Threshold",2,"and",3,40,"Designated Sites","N","N"
"BM7","Hermit Loop-Hermit Creek","Threshold",1,"and",3,29,"Designated Sites","N","Y"
"BM8","Hermit Loop-Hermit Rapids","Threshold",1,"and",1,17,"Designated Sites","N","Y"
"BN9","Boucher","Primitive",1,"and",2,23,"At Large","N","Y"
"BO9","Slate","Primitive",1,"and",2,23,"At Large","N","N"
"BP9","Ruby","Primitive",1,"and",2,23,"At Large","N","N"
"BQ9","South Bass","Primitive",1,"or",2,12,"At Large","N","N"
"BR9","Garnet","Primitive",1,"and",2,23,"At Large","N","N"
"BS9","Fossil","Wild",1,"or",1,1,"At Large","N","N"
"BT9","Olo","Wild",1,"or",2,12,"At Large","N","N"
"BU9","National","Wild",1,"or",2,12,"At Large","N","N"
"CBG","Corridor-Bright Angel","Corridor",2,"and",31,90,"Campground","N","Y"
"CCG","Corridor-Cottonwood (Summer)","Corridor",1,"and",6,40,"Campground","N","Y"
"CCG","Corridor-Cottonwood (Winter)","Corridor",1,"or",1,8,"Campground","N","Y"
"CIG","Corridor-Indian Garden","Corridor",1,"and",15,50,"Campground","N","Y"
"LA9","Kanab Creek","Primitive",1,"and",2,23,"At Large","N","N"
"LB9","Boysag","Wild",1,"or",2,12,"At Large","N","N"
"LC9","The Dome","Primitive",1,"or",2,12,"At Large","N","N"
"LE9","Parashant","Wild",1,"or",2,12,"At Large","N","N"
"LF9","Trail Canyon","Wild",1,"and",2,12,"At Large","N","N"
"LG9","Diamond Creek","Wild",1,"or",2,12,"At Large","N","N"
"LH9","Separation","Wild",1,"or",2,12,"At Large","N","N"
"LI9","Whitmore","Threshold",1,"and",1,17,"At Large","N","N"
"LJ9","Surprise","Wild",1,"or",2,12,"At Large","N","N"
"LK9","Burnt Point","Wild",1,"or",2,12,"At Large","N","N"
"LL9","Snap Point","Primitive",1,"or",2,12,"At Large","N","N"
"LM9","Grand Wash Cliffs","Primitive",1,"and",2,12,"At Large","N","N"
"NA0","Walhalla Plateau","Primitive",1,"and",3,29,"At Large","N","Y"
"NB9","Thompson Canyon","Primitive",1,"and",3,29,"At Large","N","N"
"NC9","Ken Patrick","Primitive",1,"and",2,12,"At Large","N","Y"
"ND9","Robbers Roost","Primitive",1,"and",3,29,"At Large","N","N"
"NF9","Widforss","Threshold",1,"and",2,23,"At Large","N","Y"
"NG9","Outlet","Primitive",1,"and",2,23,"At Large","N","Y"
"NH9","Point Sublime","Threshold",2,"and",3,34,"Designated Sites","N","N"
"NJ9","Swamp Ridge","Primitive",1,"and",3,29,"At Large","N","N"
"NK9","Kanab Point","Primitive",1,"and",3,29,"At Large","N","N"
"NL9","Tuckup Point","Primitive",1,"and",3,29,"At Large","N","N"
"NM9","Toroweap Valley","Threshold",1,"and",2,23,"At Large","N","N"
"NN9","Lava","Threshold",1,"and",1,17,"At Large","N","N"
"SA9","Cape Final","Threshold",0,"or",1,6,"Designated Sites","N","Y"
"SA9","Cape Solitude","Primitive",1,"and",2,23,"At Large","N","Y"
"SB9","Cedar Mountain","Threshold",2,"or",2,34,"At Large","N","Y"
"SE9","Pasture Wash","Threshold",2,"and",3,40,"At Large","N","N"
"SF9","Eminence Break","Primitive",1,"and",1,17,"At Large","Y","N"
"SG9","Shinumo Wash","Primitive",1,"and",1,17,"At Large","Y","N"
"SH9","Saltwater Wash","Primitive",1,"and",1,17,"At Large","Y","N"
"SI9","Jackass","Primitive",1,"and",1,17,"At Large","Y","N"
